FIPS,State,County Name,Unemployment Rate 2020,County Median Household Income (2021),Urban Influence Code 2013,County Income Percentile Within State (2021),Bachelor's Degree or Higher Percentage (2018-2022),Party,Vote Percentage,County,premature_deathDeaths,premature_deathYears_of_Potential_Life_Lost_Rate,premature_death_Quartile,poor-or_fair_health_% Fair or Poor Health,physical_inactivity_% Physically Inactive,excessive_drinking_% Excessive Drinking,uninsured_% Uninsured,preventable_hospital_stays_Preventable Hospitalization Rate,Rounded Voting Percentage
1001,ALABAMA,AUTAUGA,5.3,66444.0,2.0,0.9552238805970148,29.6,REPUBLICAN,71.4368023046453,Autauga,787.0,7830.0,1.0,20,33,3.0,36.0,19.0,72.0
1003,ALABAMA,BALDWIN,6.1,65658.0,2.0,0.9402985074626866,32.6,REPUBLICAN,76.17137282433283,Baldwin,3147.0,7680.0,1.0,16,30,1.0,38.0,110.0,77.0
1005,ALABAMA,BARBOUR,7.7,38649.0,6.0,0.1641791044776119,11.9,REPUBLICAN,53.451226468910434,Barbour,515.0,11477.0,3.0,30,41,4.0,45.0,9.0,54.0
1007,ALABAMA,BIBB,7.3,48454.0,1.0,0.6119402985074627,10.9,REPUBLICAN,78.42626367899948,Bibb,476.0,12173.0,4.0,24,37,1.0,38.0,5.0,79.0
1009,ALABAMA,BLOUNT,4.5,56894.0,1.0,0.8955223880597015,14.7,REPUBLICAN,89.57155284906479,Blount,1100.0,11096.0,3.0,22,33,1.0,,11.0,90.0
1011,ALABAMA,BULLOCK,6.0,32027.0,6.0,0.0746268656716417,9.4,DEMOCRAT,74.70192933015392,Bullock,189.0,10802.0,2.0,31,47,4.0,60.0,2.0,75.0
1013,ALABAMA,BUTLER,9.5,39442.0,6.0,0.1940298507462686,13.0,REPUBLICAN,57.52529510961214,Butler,398.0,12848.0,4.0,28,47,2.0,46.0,6.0,58.0
1015,ALABAMA,CALHOUN,7.7,48166.0,2.0,0.5970149253731343,19.2,REPUBLICAN,68.84843967597043,Calhoun,2340.0,11327.0,3.0,24,40,3.0,36.0,77.0,69.0
1017,ALABAMA,CHAMBERS,7.4,45447.0,5.0,0.4104477611940298,12.7,REPUBLICAN,57.26903951845067,Chambers,635.0,10371.0,2.0,25,42,3.0,52.0,6.0,58.0
1019,ALABAMA,CHEROKEE,5.1,46365.0,6.0,0.5074626865671642,14.6,REPUBLICAN,86.03365580034144,Cherokee,571.0,11737.0,3.0,23,38,1.0,,4.0,87.0
1021,ALABAMA,CHILTON,5.4,55142.0,1.0,0.8059701492537313,14.0,REPUBLICAN,83.29880890730192,Chilton,814.0,10109.0,2.0,24,42,1.0,45.0,13.0,84.0
1023,ALABAMA,CHOCTAW,7.3,40601.0,10.0,0.2238805970149253,13.0,REPUBLICAN,57.556270096463024,Choctaw,262.0,11232.0,3.0,26,47,4.0,42.0,6.0,58.0
1025,ALABAMA,CLARKE,9.8,45447.0,11.0,0.4104477611940298,13.8,REPUBLICAN,55.75942139322421,Clarke,447.0,11294.0,3.0,27,36,4.0,52.0,8.0,56.0
1027,ALABAMA,CLAY,4.4,47036.0,10.0,0.5373134328358209,12.8,REPUBLICAN,80.82251082251082,Clay,260.0,10820.0,2.0,25,37,1.0,48.0,2.0,81.0
1029,ALABAMA,CLEBURNE,5.0,49769.0,4.0,0.6417910447761194,16.5,REPUBLICAN,89.71910889719109,Cleburne,303.0,11428.0,3.0,23,34,2.0,,,90.0
1031,ALABAMA,COFFEE,4.8,55052.0,5.0,0.7910447761194029,21.6,REPUBLICAN,75.86531986531988,Coffee,812.0,8355.0,1.0,22,37,2.0,41.0,17.0,76.0
1033,ALABAMA,COLBERT,7.2,53341.0,2.0,0.746268656716418,18.0,REPUBLICAN,68.8625116545937,Colbert,1086.0,10467.0,2.0,22,37,2.0,32.0,27.0,69.0
1035,ALABAMA,CONECUH,7.9,35621.0,11.0,0.1194029850746268,13.3,REPUBLICAN,53.43890700201832,Conecuh,302.0,13182.0,4.0,29,42,4.0,44.0,2.0,54.0
1037,ALABAMA,COOSA,6.0,45954.0,3.0,0.4477611940298507,10.6,REPUBLICAN,66.27121737543348,Coosa,216.0,12687.0,4.0,26,45,3.0,49.0,,67.0
1039,ALABAMA,COVINGTON,5.4,44188.0,6.0,0.3134328358208955,16.3,REPUBLICAN,83.68330464716006,Covington,807.0,11526.0,3.0,23,36,2.0,46.0,14.0,84.0
