FIPS,State,County,premature_deathDeaths,premature_deathYears_of_Potential_Life_Lost_Rate,premature_death_Quartile,poor-or_fair_health_% Fair or Poor Health,physical_inactivity_% Physically Inactive,excessive_drinking_% Excessive Drinking,uninsured_% Uninsured,preventable_hospital_stays_Preventable Hospitalization Rate
1001,Alabama,Autauga,787,7830,1,20,33,3,36,19
1003,Alabama,Baldwin,3147,7680,1,16,30,1,38,110
1005,Alabama,Barbour,515,11477,3,30,41,4,45,9
1007,Alabama,Bibb,476,12173,4,24,37,1,38,5
1009,Alabama,Blount,1100,11096,3,22,33,1,,11
1011,Alabama,Bullock,189,10802,2,31,47,4,60,2
1013,Alabama,Butler,398,12848,4,28,47,2,46,6
1015,Alabama,Calhoun,2340,11327,3,24,40,3,36,77
1017,Alabama,Chambers,635,10371,2,25,42,3,52,6
1019,Alabama,Cherokee,571,11737,3,23,38,1,,4
1021,Alabama,Chilton,814,10109,2,24,42,1,45,13
1023,Alabama,Choctaw,262,11232,3,26,47,4,42,6
1025,Alabama,Clarke,447,11294,3,27,36,4,52,8
1027,Alabama,Clay,260,10820,2,25,37,1,48,2
1029,Alabama,Cleburne,303,11428,3,23,34,2,,
1031,Alabama,Coffee,812,8355,1,22,37,2,41,17
1033,Alabama,Colbert,1086,10467,2,22,37,2,32,27
1035,Alabama,Conecuh,302,13182,4,29,42,4,44,2
1037,Alabama,Coosa,216,12687,4,26,45,3,49,
1039,Alabama,Covington,807,11526,3,23,36,2,46,14
1041,Alabama,Crenshaw,297,10407,2,25,35,4,45,2
1043,Alabama,Cullman,1516,10115,2,22,36,1,53,42
1045,Alabama,Dale,860,10261,2,22,42,3,47,18
1047,Alabama,Dallas,859,13776,4,30,42,4,44,12
1049,Alabama,DeKalb,1284,10537,2,27,30,2,64,21
1051,Alabama,Elmore,1217,8112,1,19,35,1,36,13
1053,Alabama,Escambia,784,11843,3,28,37,3,48,14
1055,Alabama,Etowah,2178,11495,3,22,36,3,51,53
1057,Alabama,Fayette,327,10521,2,24,38,2,51,5
1059,Alabama,Franklin,515,9762,2,26,37,1,,8
1061,Alabama,Geneva,556,11998,3,26,41,2,62,2
1063,Alabama,Greene,187,12918,4,34,38,4,,1
1065,Alabama,Hale,322,13672,4,29,45,3,47,2
1067,Alabama,Henry,335,9576,1,23,35,1,50,5
1069,Alabama,Houston,1635,9244,1,23,39,2,51,70
1071,Alabama,Jackson,1143,11126,3,25,36,2,54,19
1073,Alabama,Jefferson,11347,11082,3,20,35,3,38,607
1075,Alabama,Lamar,268,11152,3,25,34,2,71,3
1077,Alabama,Lauderdale,1508,8624,1,20,32,1,29,52
1079,Alabama,Lawrence,680,11511,3,24,33,1,42,3
1081,Alabama,Lee,1815,7241,1,20,31,3,30,54
1083,Alabama,Limestone,1305,7447,1,20,33,1,23,28
1085,Alabama,Lowndes,247,16340,4,31,44,4,,
1087,Alabama,Macon,432,13612,4,28,51,4,25,5
1089,Alabama,Madison,4795,8089,1,18,34,1,28,211
1091,Alabama,Marengo,422,13500,4,27,45,4,39,5
1093,Alabama,Marion,653,10537,2,24,38,2,70,6
1095,Alabama,Marshall,1712,9563,1,24,37,2,59,36
1097,Alabama,Mobile,7269,10290,2,21,38,3,45,216
1099,Alabama,Monroe,418,12250,4,28,43,4,47,5
1101,Alabama,Montgomery,3294,9500,1,23,37,4,44,171
1103,Alabama,Morgan,2028,9710,1,20,36,1,56,63
1105,Alabama,Perry,196,14437,4,35,47,4,43,2
1107,Alabama,Pickens,335,8848,1,27,39,2,50,4
1109,Alabama,Pike,541,10633,2,25,38,3,30,10
1111,Alabama,Randolph,476,12343,4,24,34,2,46,3
1113,Alabama,Russell,1080,11200,3,25,39,3,36,15
1115,Alabama,St. Clair,1492,9242,1,21,37,1,31,25
1117,Alabama,Shelby,2243,5942,1,15,38,1,15,118
1119,Alabama,Sumter,253,13369,4,29,43,4,,2
1121,Alabama,Talladega,1665,12029,4,27,39,2,31,25
1123,Alabama,Tallapoosa,819,10208,2,25,35,2,52,12
1125,Alabama,Tuscaloosa,2756,8535,1,21,36,2,34,104
1127,Alabama,Walker,1656,14797,4,24,39,2,40,29
1129,Alabama,Washington,292,10145,2,26,32,3,54,2
1131,Alabama,Wilcox,267,16503,4,32,50,4,54,1
1133,Alabama,Winston,503,11064,2,24,36,2,,4
2013,Alaska,Aleutians East,,,,21,52,,,1
2016,Alaska,Aleutians West,,,2,18,42,2,,6
2020,Alaska,Anchorage,3201,7599,2,14,30,1,30,370
2050,Alaska,Bethel,266,15220,4,32,34,4,,26
2060,Alaska,Bristol Bay,,,,17,43,,,120
2068,Alaska,Denali,,,2,14,23,3,,0
2070,Alaska,Dillingham,79,14346,4,26,31,3,,6
2090,Alaska,Fairbanks North Star,917,6820,1,14,31,2,29,139
2100,Alaska,Haines,,,2,13,29,2,,79
2105,Alaska,Hoonah-Angoon,,,2,19,30,3,,0
2110,Alaska,Juneau,339,7387,1,12,26,1,,34
2122,Alaska,Kenai Peninsula,784,7779,2,16,33,2,,41
2130,Alaska,Ketchikan Gateway,170,6371,1,16,39,1,,10
2150,Alaska,Kodiak Island,120,5260,1,15,28,1,,9
2158,Alaska,Kusilvak,137,20542,4,42,23,4,,
2164,Alaska,Lake and Peninsula,,,2,25,38,4,,0
2170,Alaska,Matanuska-Susitna,1150,7002,1,16,35,2,,54
2180,Alaska,Nome,157,15393,4,28,40,4,,10
2185,Alaska,North Slope,104,9955,2,20,44,3,,8
2188,Alaska,Northwest Arctic,124,17239,4,30,45,4,,2
2195,Alaska,Petersburg,,,2,15,26,1,,92
2198,Alaska,Prince of Wales-Hyder,113,13693,3,21,40,3,,48
2220,Alaska,Sitka,94,5733,1,14,26,1,,12
2230,Alaska,Skagway,,,,12,26,,,0
2240,Alaska,Southeast Fairbanks,89,8096,2,16,33,3,,4
2261,Alaska,Valdez-Cordova,119,7794,2,14,34,3,,4
2275,Alaska,Wrangell,,,2,18,36,2,,40
2282,Alaska,Yakutat,,,,19,38,,,0
2290,Alaska,Yukon-Koyukuk,100,15407,4,28,31,4,,2
4001,Arizona,Apache,1333,15486,4,31,35,4,,53
4003,Arizona,Cochise,1835,7614,2,20,31,2,22,76
4005,Arizona,Coconino,1480,8539,3,18,25,2,,112
4007,Arizona,Gila,1124,14180,4,22,31,3,,30
4009,Arizona,Graham,458,8426,3,22,34,3,,24
4011,Arizona,Greenlee,105,6952,2,20,30,3,,2
4012,Arizona,La Paz,509,15134,4,26,33,4,,9
4013,Arizona,Maricopa,43979,6461,1,18,27,1,30,3060
4015,Arizona,Mohave,4812,10068,3,23,31,4,47,93
4017,Arizona,Navajo,1900,14257,4,27,33,4,,69
4019,Arizona,Pima,12930,7533,2,18,25,1,27,682
4021,Arizona,Pinal,5039,6942,1,22,34,1,22,143
4023,Arizona,Santa Cruz,387,5632,1,28,30,2,,12
4025,Arizona,Yavapai,3671,7945,2,17,24,1,27,159
4027,Arizona,Yuma,2076,6291,1,26,38,2,31,64
5001,Arkansas,Arkansas,341,10791,3,28,35,4,77,9
5003,Arkansas,Ashley,404,9989,2,28,42,3,63,8
5005,Arkansas,Baxter,821,9057,1,21,31,1,,22
5007,Arkansas,Benton,2661,6080,1,20,31,1,22,113
5009,Arkansas,Boone,627,9184,1,24,29,1,,21
5011,Arkansas,Bradley,214,12357,4,29,31,2,67,4
5013,Arkansas,Calhoun,134,12031,4,27,26,4,84,
5015,Arkansas,Carroll,520,10103,2,24,30,1,,8
5017,Arkansas,Chicot,229,13710,4,32,41,4,74,7
5019,Arkansas,Clark,324,8398,1,23,26,4,29,11
5021,Arkansas,Clay,327,12107,4,27,37,2,,7
5023,Arkansas,Cleburne,495,10985,3,23,34,1,,10
5025,Arkansas,Cleveland,153,9283,2,25,38,1,,
5027,Arkansas,Columbia,390,9430,2,27,44,3,44,10
5029,Arkansas,Conway,397,10390,2,25,40,2,61,10
5031,Arkansas,Craighead,1397,8150,1,23,39,2,48,83
5033,Arkansas,Crawford,960,8225,1,24,39,1,59,12
5035,Arkansas,Crittenden,936,13013,4,30,37,2,70,31
5037,Arkansas,Cross,367,12394,4,27,42,1,74,8
5039,Arkansas,Dallas,168,10554,2,27,40,4,36,2
5041,Arkansas,Desha,252,12617,4,33,48,4,54,3
5043,Arkansas,Drew,296,11060,3,25,35,3,35,4
5045,Arkansas,Faulkner,1579,8034,1,21,37,1,36,50
5047,Arkansas,Franklin,320,11283,3,27,42,1,,3
5049,Arkansas,Fulton,271,12146,4,27,32,3,,2
5051,Arkansas,Garland,1964,10905,3,23,29,2,66,57
5053,Arkansas,Grant,287,8518,1,21,34,1,,8
5055,Arkansas,Greene,790,10080,2,24,38,2,,14
5057,Arkansas,Hempstead,388,9830,2,29,32,3,77,9
5059,Arkansas,Hot Spring,663,11518,3,24,35,2,57,10
5061,Arkansas,Howard,256,10976,3,28,43,4,60,3
5063,Arkansas,Independence,560,8478,1,24,30,1,,16
5065,Arkansas,Izard,284,12130,4,24,32,1,,3
5067,Arkansas,Jackson,340,10712,3,30,39,3,97,5
5069,Arkansas,Jefferson,1399,12834,4,28,43,3,52,31
5071,Arkansas,Johnson,432,9439,2,28,40,1,,6
5073,Arkansas,Lafayette,154,9634,2,29,46,3,106,
5075,Arkansas,Lawrence,339,10729,3,25,38,3,,5
5077,Arkansas,Lee,197,11636,4,34,41,4,72,3
5079,Arkansas,Lincoln,235,10783,3,29,45,4,53,2
5081,Arkansas,Little River,256,9734,2,25,34,1,46,5
5083,Arkansas,Logan,442,10993,3,26,30,1,,9
5085,Arkansas,Lonoke,1075,9170,1,21,41,1,43,19
5087,Arkansas,Madison,294,11648,4,28,31,2,,6
5089,Arkansas,Marion,400,11326,3,25,27,2,,3
5091,Arkansas,Miller,870,11524,4,26,39,3,73,14
5093,Arkansas,Mississippi,955,14112,4,30,43,3,89,16
5095,Arkansas,Monroe,197,18263,4,32,44,3,92,4
5097,Arkansas,Montgomery,162,7742,1,26,24,3,,2
5099,Arkansas,Nevada,170,9332,2,28,43,4,64,
5101,Arkansas,Newton,145,10847,3,24,40,3,,
5103,Arkansas,Ouachita,544,11415,3,29,41,4,56,10
5105,Arkansas,Perry,182,9221,2,26,36,1,,
5107,Arkansas,Phillips,403,15856,4,33,45,4,93,7
5109,Arkansas,Pike,201,7737,1,25,29,3,,4
5111,Arkansas,Poinsett,582,14035,4,28,41,4,72,4
5113,Arkansas,Polk,385,9450,2,27,36,4,,9
5115,Arkansas,Pope,897,7813,1,25,35,1,34,30
5117,Arkansas,Prairie,168,9162,1,25,36,4,153,1
5119,Arkansas,Pulaski,5892,9605,2,23,34,2,44,304
5121,Arkansas,Randolph,347,11405,3,27,33,3,,7
5123,Arkansas,St. Francis,464,10893,3,31,48,4,98,9
5125,Arkansas,Saline,1740,8230,1,19,30,1,30,37
5127,Arkansas,Scott,200,10687,3,30,38,2,,1
5129,Arkansas,Searcy,153,10180,2,27,25,4,,3
5131,Arkansas,Sebastian,2015,9121,1,26,35,1,56,95
5133,Arkansas,Sevier,240,9170,1,30,33,2,109,6
5135,Arkansas,Sharp,387,9896,2,28,41,3,,4
5137,Arkansas,Stone,236,10624,3,27,41,4,,3
5139,Arkansas,Union,824,12933,4,25,35,3,69,17
5141,Arkansas,Van Buren,321,10328,2,26,37,2,,7
5143,Arkansas,Washington,2441,6775,1,23,32,1,38,155
5145,Arkansas,White,1227,8790,1,23,33,1,54,25
5147,Arkansas,Woodruff,158,12287,4,29,33,3,69,3
5149,Arkansas,Yell,409,9830,2,28,37,1,,6
6001,California,Alameda,12711,4341,1,15,22,1,18,1606
6003,California,Alpine,,,2,20,17,4,,0
6005,California,Amador,537,6204,2,17,30,2,,27
6007,California,Butte,3164,7578,3,19,30,3,39,164
6009,California,Calaveras,720,7867,4,16,28,2,,22
6011,California,Colusa,234,6576,3,24,39,3,,9
6013,California,Contra Costa,9449,4619,1,15,25,1,17,1029
6015,California,Del Norte,515,8783,4,23,34,4,,22
6017,California,El Dorado,1932,4819,2,13,26,2,,151
6019,California,Fresno,10244,7008,3,25,33,3,47,620
6021,California,Glenn,343,7523,3,23,34,3,,22
6023,California,Humboldt,2064,8733,4,18,25,3,20,110
6025,California,Imperial,1626,5980,2,29,33,4,48,60
6027,California,Inyo,274,7747,3,17,27,3,,12
6029,California,Kern,10370,8031,4,27,31,3,49,462
6031,California,Kings,1421,6595,3,25,34,3,36,89
6033,California,Lake,1458,11657,4,21,22,4,,28
6035,California,Lassen,379,6814,3,21,33,3,,33
6037,California,Los Angeles,84748,5005,2,21,22,2,21,8999
6039,California,Madera,1650,6778,3,26,37,3,41,68
6041,California,Marin,1844,3239,1,12,18,1,15,308
6043,California,Mariposa,275,7090,3,17,16,3,,10
6045,California,Mendocino,1253,7754,4,20,30,3,,75
6047,California,Merced,2647,6593,3,28,33,4,40,128
6049,California,Modoc,153,9282,4,21,26,4,,7
6051,California,Mono,112,3979,1,16,29,3,,6
6053,California,Monterey,3352,5072,2,24,25,2,16,301
